game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871831;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;97;Lorient;;;;
871832;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;79;Lille;83;Nantes;;;;
871833;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;82;Montpellier;84;Nice;;;;
871834;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;80;Lyon;93;Reims;;;;
871835;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;81;Marseille;106;Stade Brestois 29;;;;
871836;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;116;Lens;98;Ajaccio;;;;
871837;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;85;Paris Saint Germain;;;;
871838;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;94;Rennes;91;Monaco;;;;
871839;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;96;Toulouse;108;Auxerre;;;;
871840;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;81;Marseille;;;;
871841;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;108;Auxerre;116;Lens;;;;
871842;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;91;Monaco;96;Toulouse;;;;
871843;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;97;Lorient;95;Strasbourg;;;;
871844;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;83;Nantes;77;Angers;;;;
871845;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;84;Nice;80;Lyon;;;;
871846;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;99;Clermont Foot;;;;
871847;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;94;Rennes;;;;
871848;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;93;Reims;82;Montpellier;;;;
871849;2023-06-03 19:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;79;Lille;;;;
